Date,Close,BB_upper,BB_lower
2009-04-30,4.493928909301758,4.576559395717212,4.040904765201977
2009-05-01,4.544285774230957,4.5870125184405115,4.082344542945597
2009-05-04,4.544285774230957,4.606655468429589,4.10288017800901
2009-05-05,4.739643096923828,4.677962990803506,4.082501248316978
2009-05-06,4.732142925262451,4.732943367903742,4.077699446732488
2009-05-07,4.609285831451416,4.745322134749896,4.11082067225694
2009-05-08,4.61392879486084,4.763748182911688,4.126751790385431
2009-05-11,4.627500057220459,4.7819722185586935,4.141920660927391
2009-05-12,4.627500057220459,4.789787543499626,4.174319636142098
2009-05-13,4.267499923706055,4.781611182274036,4.1891031007154655
2009-05-14,4.39107084274292,4.763703172611467,4.2259753056294995
2009-05-15,4.372142791748047,4.764808778729113,4.221298284564344
2009-05-18,4.523213863372803,4.760893518760486,4.247177808448987
2009-05-19,4.551785945892334,4.7610425269183,4.2673503125134635
2009-05-20,4.551785945892334,4.757917769028933,4.291689364836423
2009-05-21,4.434999942779541,4.758358100681162,4.286891933651113
2009-05-22,4.375,4.761652573250193,4.273240367271048
2009-05-26,4.670713901519775,4.779765941411528,4.276734111994234
2009-05-27,4.751786231994629,4.809940997522398,4.27923766000934
2009-05-28,4.8239288330078125,4.852702726952736,4.271940217383201
2009-05-29,4.8239288330078125,4.889624136660304,4.268018800046239
2009-06-01,4.976786136627197,4.957826500442994,4.243066472503173
2009-06-02,4.981785774230957,5.016854539619131,4.227788433327036
2009-06-03,5.033928871154785,5.070065162935999,4.204006387433263
2009-06-04,5.133571147918701,5.142718773819123,4.171495598815765
2009-06-05,5.166786193847656,5.220476838963955,4.149487569910558
2009-06-08,5.166786193847656,5.288250651549813,4.13699949722338
2009-06-09,5.097143173217773,5.334960079366474,4.137254381006451
2009-06-10,5.0089287757873535,5.36368489156743,4.146672440662184
2009-06-11,4.998213768005371,5.3635751334932795,4.219853583166266
2009-06-12,4.891786098480225,5.357768825441402,4.275731416791874
2009-06-15,4.86035680770874,5.340136425591513,4.342185218237832
2009-06-16,4.86035680770874,5.334017538179477,4.382018400083462
2009-06-17,4.842143058776856,5.326406348698305,4.418665300853086
2009-06-18,4.8528571128845215,5.315919610827391,4.459259155423219
2009-06-19,4.981429100036621,5.287810340243513,4.542011341732805
2009-06-22,4.906071186065674,5.2148368151156514,4.668091985467234
2009-06-23,4.786070823669434,5.200694684904754,4.693769807893098
2009-06-24,4.786070823669434,5.197254571830346,4.700638380134986
2009-06-25,4.994999885559082,5.199378016525059,4.7156220406954
2009-06-26,5.0871429443359375,5.210573219454209,4.730748248899062
2009-06-29,5.070356845855713,5.21936882913305,4.731309710143073
2009-06-30,5.086785793304443,5.229668434957455,4.7315101062260165
