,Date,Close,MA5,MA20,BB_upper,BB_lower
0,2009-04-29,-1.341423690543945,-1.385758908250059,-1.452009131138539,-1.4487441370099008,-1.4304056673941368
1,2009-04-30,-1.276824059652762,-1.3528904592544206,-1.4200584681672181,-1.4378446894349475,-1.3772600626034497
2,2009-05-01,-1.3095542681328658,-1.3406521238832607,-1.3962632925438057,-1.424456989013895,-1.343123948218424
3,2009-05-04,-1.190547021223923,-1.293942607384029,-1.3716975981254158,-1.3798332139223435,-1.3396994896555632
4,2009-05-05,-1.190547021223923,-1.2407060158775196,-1.345957035624408,-1.3460111462073652,-1.3227493550129943
5,2009-05-06,-1.1691576417195784,-1.2057395665325403,-1.3190797556093186,-1.3158221357585536,-1.2997551910274803
6,2009-05-07,-1.267636295193196,-1.2038746401424505,-1.292675443324049,-1.3295102842832185,-1.2323921766570771
7,2009-05-08,-1.1137457752879611,-1.1641295609866689,-1.2661033386454694,-1.2959897307078727,-1.2134544303254964
8,2009-05-11,-1.1044139968117392,-1.1466463363141797,-1.2433152094995956,-1.260486939389961,-1.2041916915151012
9,2009-05-12,-1.2331834152314143,-1.1553006435412267,-1.220351634477291,-1.2754243789117468,-1.1424738505867853
10,2009-05-13,-1.3691298985956637,-1.195890880782854,-1.2126920168850313,-1.2824156158029254,-1.1198126142602567
11,2009-05-14,-1.3984153137842248,-1.2224363200040882,-1.2136380399799755,-1.282265579447019,-1.121874522345742
12,2009-05-15,-1.3625266910304363,-1.272933706736257,-1.2153469868103113,-1.2832506278230484,-1.1243018132274516
13,2009-05-18,-1.2643344165746728,-1.3053942484101977,-1.201965543443801,-1.2869368909668706,-1.093520722552327
14,2009-05-19,-1.2350495510579311,-1.3057730354334913,-1.1886832740284197,-1.287408119174719,-1.066260460334647
15,2009-05-20,-1.2594538804911266,-1.2835110693781757,-1.1785213179967864,-1.2895401977237657,-1.0435743686287542
16,2009-05-21,-1.2692155023300395,-1.2572861765834293,-1.1695113572337108,-1.2935136269265757,-1.0213083978401205
17,2009-05-22,-1.312282289372041,-1.2470876009648044,-1.166452096444325,-1.2945752039147862,-1.014045204220462
18,2009-05-26,-1.156381619623634,-1.2251754132064037,-1.1524069325053203,-1.2863699354358438,-0.9942094019856333
19,2009-05-27,-1.1391549048068335,-1.2057107809502097,-1.135737354149985,-1.2853426373280727,-0.9616691073185298
20,2009-05-28,-1.0696736384884644,-1.167189312187496,-1.1212954651946931,-1.259327394329944,-0.9594301487020579
21,2009-05-29,-0.9716259277211763,-1.1067847759647849,-1.1050760109668851,-1.2093481129987,-0.9783613721130642
22,2009-06-01,-0.8376890445282804,-1.0104521511176332,-1.0799991982501402,-1.1283723306967837,-1.0114558743746083
23,2009-06-02,-0.8376890445282804,-0.9457641417290036,-1.0612469084975447,-1.0646822282220083,-1.039443955490834
24,2009-06-03,-0.7646195205735338,-0.8697411956518678,-1.0386114108375775,-0.9906940390877277,-1.0702417726926312
25,2009-06-04,-0.6407317375810447,-0.7826748505863336,-1.0105287364426887,-0.894203405135738,-1.1133030832163193
26,2009-06-05,-0.5827353142550891,-0.7037380895164621,-0.9741303481544002,-0.7977153870513447,-1.139599429293261
27,2009-06-08,-0.662408045775063,-0.6681596676169124,-0.950144448900081,-0.7362172002443286,-1.1547738437029111
28,2009-06-09,-0.7076284470050732,-0.6417600530317448,-0.9290576715249582,-0.6903358525355927,-1.1596609445256891
29,2009-06-10,-0.7509816130649312,-0.6389918395310253,-0.9034315315177868,-0.6559511735055954,-1.143522595714062
30,2009-06-11,-0.802661757515332,-0.6718602885266637,-0.8733271398964665,-0.6423341516768443,-1.096905657744701
31,2009-06-12,-0.8623803026511494,-0.7286224444364306,-0.844840087002171,-0.645990213314288,-1.0357068812518986
32,2009-06-15,-0.9782296849582229,-0.7927277131409173,-0.8244170009877737,-0.660652346762895,-0.9793943620422068
33,2009-06-16,-0.9892830355724872,-0.8498977763723811,-0.809799666156051,-0.6691457310988524,-0.9411566027494276
34,2009-06-17,-1.0013417359442476,-0.9007157095310375,-0.7973794944271919,-0.6777284368718139,-0.9072554753721461
35,2009-06-18,-1.0171327079690409,-0.9442488820638046,-0.7845015742994511,-0.6917360181307015,-0.8668281086975409
36,2009-06-19,-0.9305692905223476,-0.9580898379953748,-0.7665045547991263,-0.7096647732795841,-0.8120316868921629
37,2009-06-22,-1.1134582969264681,-0.9855384527552125,-0.7559382494798523,-0.7374012647669559,-0.7620828556824307
38,2009-06-23,-1.1374322333251532,-1.0156096795237535,-0.7549312030023134,-0.7395228994983122,-0.7578614089235856
39,2009-06-24,-1.0856086245299146,-1.0327141171729488,-0.752085538657895,-0.7445188669634825,-0.746964801497326
40,2009-06-25,-0.9925849141910106,-1.0277314221292753,-0.7479887343055572,-0.7479754658876111,-0.7351362960740626
41,2009-06-26,-0.8554896167244281,-1.0124917992981441,-0.7418167844037782,-0.7445413018236051,-0.7262425566006178
42,2009-06-29,-0.8554896167244281,-0.9601294861758847,-0.7427627782869555,-0.7458419156387107,-0.7268059793268073
43,2009-06-30,-0.9090358970013458,-0.9137697479735669,-0.7465544365145502,-0.7498718841155837,-0.730286258438521
